,Unnamed: 0,Sl.No,Full Journal Title ,ISSN ,Publisher,Country ,Scope_Link
0,0,1, 2D MATERIALS,  2053-1583, IOP PUBLISHING LTD, ENGLAND,https://www.scimagojr.com/journalsearch.php?q=21100404576&tip=sid&clean=0
1,1,2, 3 BIOTECH,  2190-572X, SPRINGER HEIDELBERG, GERMANY,https://www.scimagojr.com/journalsearch.php?q=21100447128&tip=sid&clean=0
2,2,3, 3D PRINTING AND ADDITIVE MANUFACTURING,  2329-7662," MARY ANN LIEBERT, INC", UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=21100779062&tip=sid&clean=0
3,3,4, 4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,  1619-4500, SPRINGER HEIDELBERG, GERMANY,https://www.scimagojr.com/journalsearch.php?q=145295&tip=sid&clean=0
4,4,5, AAPG BULLETIN,  0149-1423, AMER ASSOC PETROLEUM GEOLOGIST, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=30787&tip=sid&clean=0
5,5,6, AAPS JOURNAL,  1550-7416, SPRINGER, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=4000148019&tip=sid&clean=0
6,6,7, AAPS PHARMSCITECH,  1530-9932, SPRINGER, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=19374&tip=sid&clean=0
7,7,8, AATCC JOURNAL OF RESEARCH,  2330-5517, AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=21100776059&tip=sid&clean=0
8,8,9, AATCC REVIEW,  1532-8813, AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=15286&tip=sid&clean=0
9,9,10, ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,  0001-3072, WILEY, AUSTRALIA,https://www.scimagojr.com/journalsearch.php?q=100147335&tip=sid&clean=0
10,10,11, ABDOMINAL RADIOLOGY,  2366-004X, SPRINGER, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=21100454916&tip=sid&clean=0
11,11,12, ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,  0025-5858, SPRINGER HEIDELBERG, GERMANY,https://www.scimagojr.com/journalsearch.php?q=27488&tip=sid&clean=0
12,12,13, ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,  1012-8255, EMERALD GROUP PUBLISHING LTD, COLOMBIA,https://www.scimagojr.com/journalsearch.php?q=19700173246&tip=sid&clean=0
13,13,14, ACADEMIC EMERGENCY MEDICINE,  1069-6563, WILEY, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=15185&tip=sid&clean=0
14,14,15, ACADEMIC MEDICINE,  1040-2446, LIPPINCOTT WILLIAMS & WILKINS, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=26493&tip=sid&clean=0
15,15,16, ACADEMIC PEDIATRICS,  1876-2859, ELSEVIER SCIENCE INC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=16800154743&tip=sid&clean=0
16,16,17, ACADEMIC PSYCHIATRY,  1042-9670, SPRINGER, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=17539&tip=sid&clean=0
17,17,18, ACADEMIC RADIOLOGY,  1076-6332, ELSEVIER SCIENCE INC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=20031&tip=sid&clean=0
18,18,19, ACADEMY OF MANAGEMENT ANNALS,  1941-6520," ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD", UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=19900191906&tip=sid&clean=0
19,19,20, ACADEMY OF MANAGEMENT JOURNAL,  0001-4273, ACAD MANAGEMENT, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=20191&tip=sid&clean=0
20,20,21, ACADEMY OF MANAGEMENT LEARNING & EDUCATION,  1537-260X, ACAD MANAGEMENT, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=5200152701&tip=sid&clean=0
21,21,22, ACADEMY OF MANAGEMENT PERSPECTIVES,  1558-9080, ACAD MANAGEMENT, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=4700152287&tip=sid&clean=0
22,22,23, ACADEMY OF MANAGEMENT REVIEW,  0363-7425, ACAD MANAGEMENT, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=20206&tip=sid&clean=0
23,23,24, ACAROLOGIA,  0044-586X, ACAROLOGIA-UNIVERSITE PAUL VALERY, FRANCE,https://www.scimagojr.com/journalsearch.php?q=24078&tip=sid&clean=0
24,24,25, ACCIDENT ANALYSIS AND PREVENTION,  0001-4575, PERGAMON-ELSEVIER SCIENCE LTD, ENGLAND,https://www.scimagojr.com/journalsearch.php?q=19532&tip=sid&clean=0
25,25,26, ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,  0898-9621, TAYLOR & FRANCIS LTD, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=18735&tip=sid&clean=0
26,26,27, ACCOUNTING AND BUSINESS RESEARCH,  0001-4788," ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD", ENGLAND,https://www.scimagojr.com/journalsearch.php?q=28034&tip=sid&clean=0
27,27,28, ACCOUNTING AND FINANCE,  0810-5391, WILEY, AUSTRALIA,https://www.scimagojr.com/journalsearch.php?q=200147123&tip=sid&clean=0
28,28,29, ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,  0951-3574, EMERALD GROUP PUBLISHING LTD, ENGLAND,https://www.scimagojr.com/journalsearch.php?q=130105&tip=sid&clean=0
29,29,30, ACCOUNTING HORIZONS,  0888-7993, AMER ACCOUNTING ASSOC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=5000158708&tip=sid&clean=0
30,30,31, ACCOUNTING ORGANIZATIONS AND SOCIETY,  0361-3682, PERGAMON-ELSEVIER SCIENCE LTD, ENGLAND,https://www.scimagojr.com/journalsearch.php?q=28094&tip=sid&clean=0
31,31,32, ACCOUNTING REVIEW,  0001-4826, AMER ACCOUNTING ASSOC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=28096&tip=sid&clean=0
32,32,33, ACCOUNTS OF CHEMICAL RESEARCH,  0001-4842, AMER CHEMICAL SOC, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=22657&tip=sid&clean=0
33,33,34, ACCREDITATION AND QUALITY ASSURANCE,  0949-1775, SPRINGER, GERMANY,https://www.scimagojr.com/journalsearch.php?q=23415&tip=sid&clean=0
34,34,35, ACI MATERIALS JOURNAL,  0889-325X, AMER CONCRETE INST, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=25159&tip=sid&clean=0
35,35,36, ACI STRUCTURAL JOURNAL,  0889-3241, AMER CONCRETE INST, UNITED STATES,https://www.scimagojr.com/journalsearch.php?q=25161&tip=sid&clean=0
